Number,id
3617,1153134
4162,2656276
4191,1314027
4496,1395459
4713,1523870
4719,1525966
3123,1025689
5024,1616766
5116,2685984
5157,1641019
5658,1759964
6028,1892346
6600,2056909
6718,2747762
6809,2129985
7127,2205722
7480,2298078
7624,4246986
7724,4258021
7729,2374490
8370,2864328
8439,2888984
8519,2802728
8787,2809871
8788,2809871
8875,2816522
9131,3105853
5073,1621357
5073,1621374
1250,2565397
1749,558866
1754,560086
2792,940313
2834,2622003
3270,1068743
1475,473592
2230,728260
4345,2662839
4400,1364127
1771,563609
6163,1935771
6366,1987356
7108,2765334
7317,2260072
7725,2374660
8270,2844413
8271,2844413
8290,2852331
2776,938247
9044,2821033
335,2527700
963,338143
1752,559551
1880,42033
2887,961521
3640,1160253
4555,1462364
4785,1537518
5340,1683180
8082,2461631
8291,2852399
2986,2626538
4000,1277862
5099,1630251
7510,2311475
5247,1656807
5247,1656808
5248,1656807
5248,1656808
5694,2705399
6289,2734221
9003,3080275
2067,2593169
3814,1217735
1033,350316
7897,2397966
788,2542716
2233,734979
7190,2222471
7028,2762682
6778,2753482
4882,1578719
7223,2233442
51,2518805
114,2521404
457,2531340
457,2531338
789,2542760
823,2547331
1490,475196
1920,612222
2417,846351
616,257015
3229,4361671
3273,1070709
3499,1125636
3754,1199789
4008,1278676
575,247404
4095,2653133
4096,2653133
4119,2653918
4517,1451663
4659,3879377
5134,2686658
1627,511621
5933,1844115
6059,1901614
6561,4108532
6713,2747676
7168,2218351
7296,2254326
7362,2268123
7363,2268123
8099,2468982
8807,2810601
561,239341
1109,2563487
1646,2577625
1871,600941
2114,2594308
2216,727014
2334,2604697
3241,2634230
3281,1071131
4711,1523826
5635,1755066
6084,1906462
6099,1917025
6767,2116283
7281,2248017
7722,2374637
8181,2503148
8522,2914612
939,332856
8810,3019759
9026,3090003
3535,1135659
9330,3158764
1993,2590679
3786,2646560
1237,401442
3821,1218358
5437,1698355
5640,1756506
6773,2753091
8945,3070676
2827,946272
6143,1933691
1301,418203
8657,2941287
466,194352
2071,687595
3747,1195785
5151,1637573
4044,2652078
8274,2844983
113,2520835
4015,1221688
1964,637912
135,2522817
1444,455443
432,187665
472,203370
874,320111
875,320111
876,320111
961,337997
1092,362591
1278,2566018
1685,3450470
1721,551100
1731,553189
1816,586268
1849,596370
2111,705878
2246,738040
2636,911652
3097,1020066
3274,1070819
8978,3076120
3282,2635646
3466,1119414
3980,1276020
4625,1495099
4675,2676777
4676,2676777
4677,2676777
4704,1523561
5259,1658281
3018,2627472
6497,2022650
6634,2744371
6683,2087609
6708,2100048
6805,2129995
6806,2129995
7776,2380544
8196,2509929
8717,2807029
8740,2981202
9009,3081222
9074,3096684
9342,3159436
7,59062
1572,496034
1590,2576255
1893,2587898
2628,910549
2769,935709
3846,2646989
3848,1220460
4072,1289619
4214,1315278
4238,1318655
4262,1322419
5090,1626780
5268,1662723
5544,2703339
5604,2704440
5767,2708002
6052,1900960
6120,2731117
6971,2154333
7777,2381013
7883,2781491
8318,2853253
6050,1900870
4707,1523682
5355,2698700
5356,2698700
5626,1753674
6109,1922072
6459,2003531
8062,2460182
8481,2901217
9032,3090030
2210,2599343
2291,2602970
902,2550990
902,2550993
903,2550990
903,2550993
2162,718207
4706,1523657
6598,2056587
8768,2994000
9135,3106815
9279,3154264
6362,1986763
8728,2807404
5001,1610633
1488,474894
2495,878108
2690,925035
2718,928647
2865,955763
3857,1221600
2732,930028
4138,1307555
4156,1308102
4318,1335531
4319,1335531
4550,2667890
3106,1021979
5940,1845045
6368,1987428
6990,2159299
7145,2765715
8052,2456312
8590,2932653
9007,3080721
9324,3158502
712,2540025
1961,637411
2185,2598762
2363,2609374
2914,967290
3227,2633580
3325,2638360
3851,2647030
3862,2647225
4028,2651862
4161,2656260
5317,2693938
6087,1906478
6633,2067804
7874,2781383
8210,2511038
9117,3104655
9118,3104655
9336,3159062
1226,400535
2431,861287
2639,911881
3982,1276090
5120,2686025
5238,1655595
7728,2374766
8453,2801547
8704,2963142
8828,2814108
384,166586
1153,382346
3010,2627243
3011,2627243
9040,3091540
1516,480300
1967,638926
6334,1982631
1041,2562390
118,2521546
7257,2768872
2089,695079
172,3263752
172,3263753
710,2540001
711,2540001
732,2540724
732,2540727
733,2540724
733,2540727
882,2548863
1339,430748
2264,741808
2277,746550
2278,2602532
2305,758991
2953,978507
3141,1038076
3237,2634218
3679,1176234
3824,1219142
3990,1276788
4084,2652765
4088,1290726
4181,2656577
4359,1356302
4360,1356302
4820,2681215
4888,3905746
4888,1579129
4889,3905746
4889,1579129
4987,2683822
5069,3925981
5070,1621261
5104,2685898
5143,2686780
5203,1650769
5870,1826911
6266,1969868
6969,2154109
7681,2776829
7681,2776809
7682,2776829
7682,2776809
8159,2787183
8378,52865
8384,2865628
8664,2941523
8903,3061055
8988,3078448
8994,3078741
2105,705190
9043,2820993
9178,3114323
89,2519558
1271,409759
2418,2610359
2418,4347949
2793,940334
2843,953482
2892,962161
3686,2644066
3993,1276924
4206,2659032
4270,1326745
6480,2009179
7751,2377218
7753,2377322
8604,2936079
8883,3051985
176,2524965
799,2543578
1224,399588
8077,2461283
8173,2787304
8174,2787304
119,2521711
356,156592
5727,1787476
6342,2735730
1574,496041
7492,2514122
904,2551007
5314,2693765
6398,2737168
7287,2250468
5353,2698477
4686,2677017
1614,503509
2615,909380
1423,451532
186,100501
2928,968174
5336,2694787
3473,2640006
4612,2674701
3296,1072734
1225,399752
219,3268277
341,152780
1101,364983
1333,429017
6910,2147156
1634,512398
2101,704645
2329,2604614
2669,2615819
3412,1111144
3514,3692123
4924,1592219
3973,1275474
4284,2662219
4285,2662219
4294,1330491
5004,1611048
5919,1841671
6046,1900805
6046,1900804
6048,1900805
6048,1900804
6047,1900805
6047,1900804
6236,1958459
6280,2734004
6280,2734003
6281,2734004
6281,2734003
6282,2734004
6282,2734003
6283,2734004
6283,2734003
6326,1981916
6493,2022421
6605,2057564
7568,2325904
7583,2774929
7584,2333895
7727,2374611
7817,2386058
8292,2852474
8713,2964722
9129,3105804
7557,2323874
157,91131
1069,2563007
1083,2563209
1637,512499
2068,2593351
2069,2593351
4229,2659439
4330,2662585
5719,2705789
5913,1837510
6724,2747942
7351,2265719
7737,2376372
8076,2461109
8803,2810490
8898,3055825
9150,3108311
103,2520334
929,330328
7491,2514108
8145,2493764
8401,2874051
7809,2778398
7809,2778411
7810,2778398
7810,2778411
8350,2859997
8532,2916361
1056,354462
6474,2008715
3966,1275073
9358,3168645
9056,3093915
5629,1754306
6668,2083093
6573,2742448
8852,3047191
2338,2604795
70,78759
106,2520478
107,2520640
7178,2766168
2131,3521083
572,244375
1180,3396384
1201,394960
1262,3403739
1450,459665
1551,491246
1585,497323
1665,526724
1682,2578716
1776,570198
2842,2622257
3188,2631331
3557,1138056
3583,1140018
3825,1219338
3889,2647406
5039,2684260
5731,2706799
5984,1871061
6738,4137682
6776,2122478
5286,1665277
7007,2761042
7008,2761042
7847,2391147
8083,2461738
8718,4437911
90,2519639
123,2522066
438,2530422
790,2542987
1222,399388
1529,485821
1709,2578957
2045,668250
2438,2610873
3096,2628412
3301,2637904
3300,2637904
3361,1101886
4151,2655826
5250,1656854
5762,2707730
6276,2733930
6506,2740080
7092,2197498
7093,2197498
7302,2769380
7998,2431555
8005,2432561
8572,2926465
8996,3078858
9205,2824920
1163,2564235
2333,2604669
3543,1136263
8430,2887237
8433,2887904
8509,2910137
6830,2755123
6876,2139831
2292,2602989
9371,3183556
5184,1648538
8795,2810039
4624,1494798
6749,2750084
7929,2410001
6360,1986298
7214,2232312
1970,639928
117,2521462
117,2521461
143,81513
1280,410600
1571,495998
1652,3447062
2096,700880
2946,2624947
3214,2632787
3287,2637756
3360,1101832
3562,1138459
3618,1153137
3987,1276610
4014,1281569
4154,2655942
5089,2685256
1968,639266
6001,1872489
6213,1947811
6331,4080087
6711,2101526
7434,2771599
7793,2382906
8440,2890623
8506,2801966
381,166458
8633,18439
9249,2830468
465,4315712
679,270621
1209,397762
2779,938864
2924,2624213
3007,2627189
3310,1087345
3310,1087350
4101,1295205
5930,1842926
6381,2736942
6650,2075209
7014,2762451
7816,2385973
8265,2843905
8513,2911076
8699,2806664
9257,3146469
1058,354879
1467,468740
3756,1199569
3947,2650891
4363,1356385
5063,1620001
6824,2132794
376,2529109
604,255810
2884,961430
2897,962126
6378,1989245
7379,2272047
8885,3052034
4611,1482893
8185,2787901
5683,1774559
6470,2006753
6891,2756953
7306,35319
2189,2598806
1626,511573
399,178013
2036,666882
2209,726655
2355,3553309
2895,962052
3585,4366050
3738,1190060
3767,2645926
3943,2650660
4418,3807756
4451,1375588
4892,1579408
4937,1596275
4997,1610438
5065,1620069
5101,1630678
5102,1630678
5344,1685038
5773,2708326
5842,1810623
7416,2284928
7457,2293239
7663,2357162
8134,4300965
8723,2967131
8791,2809911
8791,4439471
173,2524830
731,2540693
851,314559
931,330333
977,340117
1996,2590686
2658,916557
2704,927238
2777,938579
3611,1149462
3731,1187943
3746,2645491
4219,1315435
4222,1315474
4607,1482815
4864,1576495
5032,2684117
5041,2684304
5285,1665187
6403,1992793
6472,2007955
7694,2363967
8051,2456301
8358,2862501
8630,16535
9083,3097939
9225,3126387
2002,2590871
4610,2674653
5178,1647901
6094,1916240
6764,2752790
7398,2278456
77,79394
1027,349508
2020,2591212
1997,648912
3421,1112943
4545,1456149
8736,2808042
8641,2804640
6722,2107582
684,2538041
933,331469
6968,2154029
2835,952736
353,2528284
1094,362646
1536,486463
2003,2590760
2757,2619937
3771,1204882
3932,1265425
4149,2655800
4586,1480016
4807,1547540
5593,1746455
5603,2704424
5932,1844072
6308,1977551
6314,1979329
6361,1986570
6374,1988906
8280,2846460
8463,2891510
4993,1609804
3424,1113138
5267,1662777
4218,1315418
94,2519812
95,2519812
824,304078
280,2525982
280,4313391
4728,2677851
2123,730909
2124,730909
5420,1732530
5420,1732531
6277,2733966
7412,2279714
4085,1290294
7209,2228487
479,205039
99,2520194
4093,2653009
8874,2816477
3415,1111195
5966,2726073
5320,3952195
14,63168
5263,2691690
9314,3157907
5253,1657011
1773,569823
6114,1922603
5396,1731704
3377,2638911
9304,3157238
1738,554622
1417,2568450
6014,1888784
7459,2293271
48,75278
2960,984415
697,2538539
1573,496034
6110,1922090
7194,2225817
8620,2514924
1382,2567455
2422,2610565
5541,1724794
1877,2581051
7531,2318252
8123,2481853
2990,991896
4721,1525672
5425,1732658
463,194339
2981,2576111
3651,1161585
6626,2744153
5830,2781813
1309,421024
1699,549105
1726,551218
2022,661981
4981,2683733
5733,1788109
730,284174
1279,558866
6365,1987356
1110,365519
8278,2844413
900,2549147
6731,2748064
6477,2222471
1676,538817
1982,644346
2202,723444
8124,2481879
5404,1731632
3736,1189336
125,79768
239,110041
3275,3076120
3286,2637727
5408,1731938
7141,2215176
9199,2824557
499,211307
4665,1515377
6405,2737630
6579,2742633
6348,2736105
6858,2756062
6914,2757564
7907,2400315
5191,3937912
4740,2677916
3911,1254843
1824,592420
4170,1313665
4442,1371200
180,1276839
3525,152780
2432,861304
5418,1732316
5591,1746274
7221,2767561
2926,967955
8026,2784813
8906,2818056
3057,1013059
3023,2627506
7360,2770687
2804,4354516
1882,607788
1579,496835
7039,2763520
81,79636
352,2528266
3378,2638931
997,342830
1360,436637
1843,595732
2818,4354910
3203,1058138
7821,2779175
5428,1732713
8562,2924726
131,80070
3918,1261038
2681,923803
7771,2379821
752,291599
6928,2758062
1318,425903
2521,883792
7395,2275344
5237,1654586
7248,2236916
3496,1125341
5668,1761332
7414,2282313
3311,1087990
2949,2624986
8660,2941310
1437,2570084
5170,1645604
1565,493632
5083,2685035
1185,389460
1186,389460
3005,2626896
2345,2608010
6329,1982399
5246,1656792
8895,3054249
8749,2945083
467,2460183
2074,688053
164,95172
6935,4159218
1054,353948
6295,2936271
1087,362394
1102,365026
2795,2381754
9095,80134
6970,1256830
2180,2934965
800,301078
7501,454521
4067,353840
7997,2431553
8646,2888984
480,1621357
480,1621374
818,2544909
2760,1609804
7629,451157
2799,940522
2800,940522
2798,940522
2199,723029
4082,2984436
7975,79768
459,1195785
6192,2520835
142,455443
1796,578606
7033,2805775
1557,492470
4560,1462422
8388,1462422
689,3104708
8072,3104708
1265,1335531
4321,1335531
5424,1021979
9340,2281605
7910,2401452
5472,1705190
8958,3073454
1010,344414
1778,570350
2801,205039
8618,2514924
1838,2598213
2523,79873
3497,2640248
3498,2777804
6357,2662219
7684,967955
8415,2886759
8820,3026583
4140,2520334
6010,2624812
4448,2520478
4829,2520640
130,2766168
296,244375
3299,667174
1380,2707730
4292,79636
136,3104047
950,336113
7707,2522206
7213,80070
787,2542708
3566,1314639
6682,2087428
1440,454521
6660,2079824
536,231635
4489,1388760
4489,1389346
443,190323
2796,2620957
8059,2461738
6021,1890238
5711,1781846
6298,2816522
6299,2816522
3810,1217189
6636,554622
3760,2071896
1053,2568450
1415,2736422
1337,2611559
2322,2875600
6185,940522
2664,2615696
8339,2820561
8897,3153806
4480,2610359
1438,1610633
1439,1610633
8236,562839
7999,2056587
8266,2844679
2766,1617824
827,2547341
7604,2411208
4774,2995472
5678,2520049
6377,2736942
2068,2593169
2069,2593169
7032,747572
8158,2336040
4193,2995472
2203,723444
2642,2916735
5911,1947811
1695,1940877
2021,2814108
3143,2540693
3987,1494798
3967,2544909
1991,2748064
2192,1153464
3433,2622500
3871,2531340
8807,3019110
1527,2549147
1526,2549147
3639,2387017
8532,3078862
5507,2149507
8274,2845105
142,2707770
1684,2116283
8516,637912
6726,3090030
6729,1657011
4034,2889296
3114,569823
4134,400535
9055,705190
1767,940522
3910,2037147
5191,1649125
4103,1462422
7120,2677916
1239,984415
1662,3091540
7892,2681215
9297,2737168
2802,399588
4891,2551007
7286,2737168
4254,1940877
5115,1072734
7631,1586124
4612,2598213
3922,879816
6279,879816
6280,2733978
6281,2733978
6282,2733978
6283,2733978
7582,2460182
8026,2784811
9221,1958459
9243,2677017
1017,345122
6298,2735174
6299,2735174
7809,2890629
7810,2890629
5320,1685038
535,1276090
1416,2568450
8309,1219774
4990,3047191
8588,1051169
4907,2682766
7068,2814108
1861,1610633
8618,2804330
47,2736105
8585,2522722
155,2519201
8268,2624947
8432,2095458
2049,2592356
2397,998059
2480,3695678
3738,2514924
5054,962052
178,1916240
2106,2685035
548,734979
1938,3108311
7029,2090817
73,1101886
4290,2603096
1883,940522
3479,2400315
8966,2401452
2796,998059
8963,1482815
8963,3168645
3538,2693938
4845,1515377
8183,2506346
8184,2506346
5147,2603530
492,2603530
1567,2626634
2294,418203
5397,2703089
2837,3353073
2838,3353073
237,946403
8558,2781813
5455,3057628
3320,4376254
457,2787304
2771,1583386
2982,991875
6933,2149507
7205,1746573
8962,637912
6398,2530697
4086,1290294
4237,1900805
2008,3073946
2981,2626634
8746,336554
6866,727443
2416,1162215
2629,3115315
165,102899
515,1051169
8684,2573621
1738,1630251
3018,1630251
5063,4388790
1145,1812026
2750,932015
3655,2603530
28,562839
5767,1633319
8628,16535
4816,4382850
7414,2676629
7412,2676629
3676,1630251
97,2624213
1840,723444
6934,727443
730,727443
7881,727443
5169,727443
5170,727443
8125,727443
1129,2626896
2072,1609804
4067,2908513
9009,3081223
6561,975989
7204,1101886
2114,3867250
7933,393198
9330,2567064
7033,2567064
9340,2567064
7977,79768
1444,2707770
6805,2801671
6806,2801671
2897,1335531
6132,940522
172,1101832
6969,3452823
1010,451532
3686,2652078
7202,78759
2013,1093364
40,2736105
134,2522722
4961,2519201
6331,1810839
8032,4363725
2732,3609302
5889,2809435
2658,2629287
1936,1385363
4614,2598213
3966,2544909
1437,1610633
8875,2735174
2926,2522152
1236,401368
7724,2777567
7145,2216193
1699,549109
2089,3517393
5404,3976437
7782,2377320
2794,946403
6402,2494870
6805,2117756
1968,1190047
6328,1982400
1779,570350
1052,1920374
1052,1920376
1052,1920377
9117,3104654
3987,2318689
5147,209252
6561,1160283
6561,2046138
9330,2281605
7417,2049301
8410,2878446
7145,2765659
2935,973873
1685,3477389
8810,4525780
2089,3476449
94,4312018
7362,4213886
5191,3937904
5191,3937905
5191,3937907
5191,3937909
5191,3937910
5191,3937911
4346,2662875
3182,1051025
2223,727443
2522,884482
175,98838
175,1051169
5147,NULL
492,NULL
3673,NULL
3597,NULL
40,NULL
6294,NULL
8236,NULL
827,NULL
2203,NULL
477,NULL
7892,NULL
2507,NULL
4438,NULL
2144,NULL
3038,NULL
86,NULL
8705,NULL
88,NULL
6185,NULL
91,NULL
111,NULL
79,NULL
1971,NULL
75,NULL
3553,NULL
134,NULL
73,NULL
82,NULL
126,NULL
3218,NULL
6132,NULL
1093,NULL
7205,NULL
4482,NULL
4485,NULL
8443,NULL
8444,NULL
8445,NULL
8446,NULL
47,NULL
8441,NULL
6328,NULL
5106,NULL
7604,NULL
7933,NULL
2428,NULL
2896,NULL
7202,NULL
9243,NULL
7417,NULL
2945,NULL
5483,NULL
6344,NULL
8032,NULL
3845,NULL
5889,NULL
8410,NULL
2106,NULL
4075,NULL
4121,NULL
5054,NULL
6006,NULL
4220,NULL
8339,NULL
4193,NULL
468,NULL
2629,NULL
2192,NULL
8230,NULL
5507,NULL
1892,NULL
6933,NULL
3013,NULL
6386,NULL
4125,NULL
6316,NULL
4614,NULL
327,NULL
6302,NULL
4087,NULL
7114,NULL
906,NULL
8126,NULL
2322,NULL
8897,NULL
3182,NULL
8912,NULL
4030,NULL
237,NULL
4714,NULL
1919,NULL
3070,NULL
3886,NULL
8050,NULL
2440,NULL
3741,NULL
4479,NULL
1991,NULL
2172,NULL
2651,NULL
2771,NULL
3278,NULL
4629,NULL
7719,NULL
7935,NULL
9046,NULL
165,NULL
6057,NULL
7396,NULL
7852,NULL
6681,NULL
6726,NULL
6729,NULL
4034,NULL
810,NULL
2767,NULL
6122,NULL
8786,NULL
3138,NULL
5551,NULL
6301,NULL
7274,NULL
3204,NULL
5298,NULL
7631,NULL
2416,NULL
5173,NULL
5256,NULL
2294,NULL
6522,NULL
6272,NULL
974,NULL
2822,NULL
4353,NULL
4821,NULL
2008,NULL
3183,NULL
3194,NULL
8368,NULL
4290,NULL
35,NULL
564,NULL
1894,NULL
2889,NULL
3830,NULL
5042,NULL
1053,NULL
2331,NULL
2664,NULL
7613,NULL
6377,NULL
4921,NULL
1386,NULL
3774,NULL
4252,NULL
4983,NULL
5289,NULL
8071,NULL
2979,NULL
4032,NULL
3320,NULL
2751,NULL
3433,NULL
4213,NULL
7353,NULL
4210,NULL
3112,NULL
6290,NULL
1371,NULL
2327,NULL
3016,NULL
3114,NULL
4845,NULL
2340,NULL
2752,NULL
5122,NULL
333,NULL
2505,NULL
6315,NULL
7702,NULL
1017,NULL
4086,NULL
4237,NULL
6072,NULL
826,NULL
3839,NULL
4729,NULL
5941,NULL
7560,NULL
8450,NULL
7079,NULL
1861,NULL
2650,NULL
3481,NULL
4435,NULL
7076,NULL
7851,NULL
1421,NULL
2173,NULL
3306,NULL
4525,NULL
7264,NULL
1422,NULL
1905,NULL
7527,NULL
8248,NULL
1415,NULL
7592,NULL
6813,NULL
4699,NULL
3012,NULL
8818,NULL
1530,NULL
2797,NULL
1337,NULL
3500,NULL
2335,NULL
8183,NULL
8184,NULL
9049,NULL
8997,NULL
1438,NULL
7905,NULL
6934,NULL
8328,NULL
1439,NULL
6638,NULL
1229,NULL
7514,NULL
4103,NULL
4664,NULL
1695,NULL
163,NULL
8125,NULL
4003,NULL
1418,NULL
3994,NULL
2021,NULL
206,NULL
5588,NULL
4931,NULL
3763,NULL
2750,NULL
5269,NULL
7441,NULL
7882,NULL
1724,NULL
8638,NULL
8962,NULL
7894,NULL
403,NULL
1938,NULL
7484,NULL
37,NULL
7523,NULL
8144,NULL
1414,NULL
4774,NULL
509,NULL
3880,NULL
7718,NULL
1354,NULL
750,NULL
3871,NULL
4970,NULL
6750,NULL
8047,NULL
220,NULL
2223,NULL
8963,NULL
3910,NULL
285,NULL
2785,NULL
3867,NULL
9072,NULL
1233,NULL
1793,NULL
535,NULL
583,NULL
6322,NULL
8889,NULL
1973,NULL
4574,NULL
755,NULL
758,NULL
2049,NULL
1916,NULL
776,NULL
3081,NULL
3956,NULL
7746,NULL
8826,NULL
890,NULL
1147,NULL
3358,NULL
3900,NULL
4822,NULL
6173,NULL
7250,NULL
2660,NULL
3329,NULL
1881,NULL
9122,NULL
4217,NULL
9332,NULL
8266,NULL
8632,NULL
5397,NULL
1129,NULL
5673,NULL
8731,NULL
4919,NULL
1891,NULL
2766,NULL
548,NULL
7802,NULL
347,NULL
203,NULL
2042,NULL
2072,NULL
5087,NULL
1198,NULL
1461,NULL
4650,NULL
6888,NULL
4907,NULL
2365,NULL
7251,NULL
2597,NULL
5258,NULL
5678,NULL
6204,NULL
7703,NULL
7704,NULL
7705,NULL
8158,NULL
5202,NULL
815,NULL
5052,NULL
8069,NULL
8080,NULL
8476,NULL
2657,NULL
8588,NULL
7068,NULL
6475,NULL
7081,NULL
8033,NULL
2400,NULL
4164,NULL
715,NULL
7572,NULL
8449,NULL
9077,NULL
4656,NULL
3999,NULL
3983,NULL
2642,NULL
8558,NULL
8613,NULL
8614,NULL
8479,NULL
5911,NULL
8684,NULL
1424,NULL
6704,NULL
1525,NULL
7061,NULL
1527,NULL
1526,NULL
5307,NULL
4909,NULL
9331,NULL
4911,NULL
7730,NULL
8390,NULL
8608,NULL
8872,NULL
3730,NULL
216,NULL
2706,NULL
7740,NULL
4961,NULL
7881,NULL
4990,NULL
3318,NULL
1022,NULL
6504,NULL
533,NULL
3637,NULL
3967,NULL
4020,NULL
8979,NULL
8977,NULL
9297,NULL
9348,NULL
7032,NULL
7717,NULL
68,NULL
3639,NULL
2841,NULL
8966,NULL
751,NULL
1332,NULL
5876,NULL
3823,NULL
920,NULL
3298,NULL
7734,NULL
5455,NULL
5450,NULL
5454,NULL
5436,NULL
7903,NULL
2522,NULL
8894,NULL
3922,NULL
2982,NULL
8600,NULL
9221,NULL
3751,NULL
4055,NULL
5460,NULL
5594,NULL
7254,NULL
175,NULL
1501,NULL
4390,NULL
4518,NULL
5383,NULL
5380,NULL
5676,NULL
6822,NULL
6496,NULL
7605,NULL
2115,NULL
3537,NULL
1477,NULL
6505,NULL
8224,NULL
859,NULL
8981,NULL
4297,NULL
4299,NULL
4298,NULL
5169,NULL
1021,NULL
5799,NULL
3610,NULL
3970,NULL
5852,NULL
6866,NULL
7029,NULL
6616,NULL
6531,NULL
7188,NULL
8267,NULL
8268,NULL
9115,NULL
3102,NULL
6637,NULL
7146,NULL
4380,NULL
9323,NULL
8470,NULL
5689,NULL
7977,NULL
400,NULL
2692,NULL
4837,NULL
5867,NULL
7507,NULL
8621,NULL
1767,NULL
1959,NULL
4021,NULL
3479,NULL
6086,NULL
3538,NULL
6003,NULL
9227,NULL
9201,NULL
2052,NULL
3021,NULL
7120,NULL
389,NULL
1408,NULL
4573,NULL
8597,NULL
9027,NULL
515,NULL
8220,NULL
8221,NULL
4254,NULL
4212,NULL
2802,NULL
8009,NULL
4891,NULL
7286,NULL
5115,NULL
4134,NULL
178,NULL
3676,NULL
5607,NULL
7582,NULL
8064,NULL
2113,NULL
9055,NULL
8187,NULL
192,NULL
1416,NULL
1611,NULL
2983,NULL
6245,NULL
7871,NULL
8309,NULL
1431,NULL
2395,NULL
3550,NULL
8539,NULL
7204,NULL
6218,NULL
7242,NULL
6503,NULL
2222,NULL
1638,NULL
8516,NULL
8593,NULL
1720,NULL
7288,NULL
7878,NULL
8888,NULL
4912,NULL
6108,NULL
1145,NULL
2480,NULL
9133,NULL
6279,NULL
1936,NULL
2122,NULL
1482,NULL
2013,NULL
3143,NULL
4469,NULL
4133,NULL
7511,NULL
454,NULL
6243,NULL
2397,NULL
8505,NULL
8776,NULL
1684,NULL
3903,NULL
7999,NULL
5918,NULL
1662,NULL
155,NULL
3033,NULL
3898,NULL
1687,NULL
685,NULL
1883,NULL
6452,NULL
8466,NULL
8432,NULL
8759,NULL
1239,NULL
6191,NULL
1425,NULL
7939,NULL
1217,NULL
1395,NULL
406,NULL
2099,NULL
4480,NULL
8746,NULL
1957,NULL
6453,NULL
1374,NULL
2575,NULL
8882,NULL
3760,NULL
1910,NULL
8247,NULL
3615,NULL
952,NULL
1827,NULL
8585,NULL
6770,NULL
8741,NULL
1270,NULL
1645,NULL
6217,NULL
8763,NULL
9079,NULL
4314,NULL
9270,NULL
1055,NULL
8514,NULL
9039,NULL
1114,NULL
6816,NULL
6215,NULL
2361,NULL
2362,NULL
NULL,962252
NULL,353840
NULL,2215215
NULL,1174591
NULL,1389832
NULL,244374
NULL,4415984
NULL,2275004
NULL,2197492
NULL,413474
NULL,1704419
NULL,2825734
NULL,2540684
NULL,2275005
NULL,1173099
NULL,2686021
NULL,2328101
NULL,930027
NULL,2261046
NULL,562839
NULL,1657235
NULL,3026583
NULL,1810839
NULL,1983062
NULL,3064868
NULL,2703089
NULL,1138567
NULL,1161547
NULL,1013969
NULL,1089937
NULL,991885
NULL,2411446
NULL,2411257
NULL,2411208
NULL,79106
NULL,758405
NULL,2890629
NULL,2888239
NULL,3705809
NULL,3927143
NULL,3609302
NULL,4140394
NULL,3500406
NULL,3232970
NULL,4276525
NULL,3532842
NULL,3926537
NULL,3240179
NULL,3819650
NULL,4363725
NULL,3924352
NULL,4297143
NULL,4368124
NULL,4327374
NULL,2788262
NULL,4372470
NULL,4372471
NULL,1619552
NULL,2547372
NULL,4322153
